lat,long,F_ID,NumFat,FAT_ID,NumZone,OLT_ID,AddrZone
34.21069675,43.90661814,FAT33-FTK0051,33,FAT33,51,FTK0051,حي الافراز
34.20970151,43.90609063,FAT34-FTK0051,34,FAT34,51,FTK0051,حي الافراز
34.21086002,43.90827242,FAT35-FTK0051,35,FAT35,51,FTK0051,حي الافراز
34.21047759,43.90795435,FAT36-FTK0051,36,FAT36,51,FTK0051,حي الافراز
34.2111365,43.90673598,FAT37-FTK0051,37,FAT37,51,FTK0051,حي الافراز
34.21076539,43.90642961,FAT38-FTK0051,38,FAT38,51,FTK0051,حي الافراز
34.21076669,43.90603921,FAT39-FTK0051,39,FAT39,51,FTK0051,حي الافراز
34.20965736,43.90609977,FAT40-FTK0051,40,FAT40,51,FTK0051,حي الافراز
34.20890626,43.90497872,FAT41-FTK0051,41,FAT41,51,FTK0051,حي الافراز
34.20830371,43.90537705,FAT42-FTK0051,42,FAT42,51,FTK0051,حي الافراز
34.20842279,43.90545869,FAT43-FTK0051,43,FAT43,51,FTK0051,حي الافراز
34.20843753,43.90595798,FAT44-FTK0051,44,FAT44,51,FTK0051,حي الافراز
34.21241,43.89859,FAT01-FTK0052,1,FAT01,52,FTK0052,حي الجامعة
34.21448,43.89709,FAT02-FTK0052,2,FAT02,52,FTK0052,حي الجامعة
34.21239,43.89793,FAT03-FTK0052,3,FAT03,52,FTK0052,حي الجامعة
34.21365439,43.89775053,FAT04-FTK0052,4,FAT04,52,FTK0052,حي الجامعة
34.21245,43.89917,FAT05-FTK0052,5,FAT05,52,FTK0052,حي الجامعة
34.21328937,43.89828536,FAT06-FTK0052,6,FAT06,52,FTK0052,حي الجامعة
34.21378,43.89851,FAT07-FTK0052,7,FAT07,52,FTK0052,حي الجامعة
34.21341242,43.89893467,FAT08-FTK0052,8,FAT08,52,FTK0052,حي الجامعة
34.21291141,43.89917407,FAT09-FTK0052,9,FAT09,52,FTK0052,حي الجامعة
34.2142978,43.89957491,FAT10-FTK0052,10,FAT10,52,FTK0052,حي الجامعة
34.21384676,43.89850748,FAT11-FTK0052,11,FAT11,52,FTK0052,حي الجامعة
34.21429,43.89895,FAT12-FTK0052,12,FAT12,52,FTK0052,حي الجامعة
34.21492,43.89888,FAT13-FTK0052,13,FAT13,52,FTK0052,حي الجامعة
34.21533773,43.89804637,FAT14-FTK0052,14,FAT14,52,FTK0052,حي الجامعة
34.21566,43.89793,FAT15-FTK0052,15,FAT15,52,FTK0052,حي الجامعة
34.21612087,43.89828099,FAT16-FTK0052,16,FAT16,52,FTK0052,حي الجامعة
34.21636681,43.89749874,FAT17-FTK0052,17,FAT17,52,FTK0052,حي الجامعة
34.21667741,43.89852524,FAT18-FTK0052,18,FAT18,52,FTK0052,حي الجامعة
34.21701,43.89778,FAT19-FTK0052,19,FAT19,52,FTK0052,حي الجامعة
34.21747446,43.89779759,FAT20-FTK0052,20,FAT20,52,FTK0052,حي الجامعة
34.21827438,43.89706664,FAT21-FTK0052,21,FAT21,52,FTK0052,حي الجامعة
34.21803,43.8987,FAT22-FTK0052,22,FAT22,52,FTK0052,حي الجامعة
34.21759,43.89807,FAT23-FTK0052,23,FAT23,52,FTK0052,حي الجامعة
34.21514,43.89966,FAT24-FTK0052,24,FAT24,52,FTK0052,حي الجامعة
34.21512,43.90021,FAT25-FTK0052,25,FAT25,52,FTK0052,حي الجامعة
34.2135502,43.89987755,FAT26-FTK0052,26,FAT26,52,FTK0052,حي الجامعة
34.21470015,43.90025235,FAT27-FTK0052,27,FAT27,52,FTK0052,حي الجامعة
34.21445391,43.90073836,FAT28-FTK0052,28,FAT28,52,FTK0052,حي الجامعة
34.21479,43.90123,FAT29-FTK0052,29,FAT29,52,FTK0052,حي الجامعة
34.21522,43.90183,FAT30-FTK0052,30,FAT30,52,FTK0052,حي الجامعة
34.21402,43.90244,FAT31-FTK0052,31,FAT31,52,FTK0052,حي الجامعة
34.21454,43.90192,FAT32-FTK0052,32,FAT32,52,FTK0052,حي الجامعة
34.21399,43.90145,FAT33-FTK0052,33,FAT33,52,FTK0052,حي الجامعة
34.21467,43.9027,FAT34-FTK0052,34,FAT34,52,FTK0052,حي الجامعة
34.21437,43.90391,FAT35-FTK0052,35,FAT35,52,FTK0052,حي الجامعة
34.214657,43.90299501,FAT36-FTK0052,36,FAT36,52,FTK0052,حي الجامعة
34.21421,43.90279,FAT37-FTK0052,37,FAT37,52,FTK0052,حي الجامعة
34.21420118,43.90315718,FAT38-FTK0052,38,FAT38,52,FTK0052,حي الجامعة
34.21378531,43.90415598,FAT39-FTK0052,39,FAT39,52,FTK0052,حي الجامعة
34.21366,43.90411,FAT40-FTK0052,40,FAT40,52,FTK0052,حي الجامعة
34.21322386,43.90416303,FAT41-FTK0052,41,FAT41,52,FTK0052,حي الجامعة
34.21291884,43.90387065,FAT42-FTK0052,42,FAT42,52,FTK0052,حي الجامعة
34.21255,43.90352,FAT43-FTK0052,43,FAT43,52,FTK0052,حي الجامعة
34.21174,43.90235,FAT44-FTK0052,44,FAT44,52,FTK0052,حي الجامعة
34.21224544,43.90168436,FAT45-FTK0052,45,FAT45,52,FTK0052,حي الجامعة
34.21132379,43.90130726,FAT46-FTK0052,46,FAT46,52,FTK0052,حي الجامعة
34.21215,43.90042,FAT47-FTK0052,47,FAT47,52,FTK0052,حي الجامعة
34.2109,43.89981,FAT48-FTK0052,48,FAT48,52,FTK0052,حي الجامعة
34.20452,43.89919,FAT01-FTK0053,1,FAT01,53,FTK0053,حي القادسية
34.2042,43.90099,FAT02-FTK0053,2,FAT02,53,FTK0053,حي القادسية
34.20482426,43.90031477,FAT03-FTK0053,3,FAT03,53,FTK0053,حي القادسية
34.2050324,43.89929626,FAT04-FTK0053,4,FAT04,53,FTK0053,حي القادسية
34.20548772,43.90000936,FAT05-FTK0053,5,FAT05,53,FTK0053,حي القادسية
34.20584161,43.89897348,FAT06-FTK0053,6,FAT06,53,FTK0053,حي القادسية
34.20641461,43.90024503,FAT07-FTK0053,7,FAT07,53,FTK0053,حي القادسية
34.20599,43.90053,FAT08-FTK0053,8,FAT08,53,FTK0053,حي القادسية
34.20689,43.89931,FAT09-FTK0053,9,FAT09,53,FTK0053,حي القادسية
34.20682,43.90095,FAT10-FTK0053,10,FAT10,53,FTK0053,حي القادسية
34.20621,43.90081,FAT11-FTK0053,11,FAT11,53,FTK0053,حي القادسية
34.20592528,43.90058634,FAT12-FTK0053,12,FAT12,53,FTK0053,حي القادسية
34.20406,43.90164,FAT13-FTK0053,13,FAT13,53,FTK0053,حي القادسية
34.20440582,43.90260112,FAT14-FTK0053,14,FAT14,53,FTK0053,حي القادسية
34.20473863,43.90290421,FAT15-FTK0053,15,FAT15,53,FTK0053,حي القادسية
34.20524545,43.90192473,FAT16-FTK0053,16,FAT16,53,FTK0053,حي القادسية
34.20547126,43.90312575,FAT17-FTK0053,17,FAT17,53,FTK0053,حي القادسية
34.20428,43.90289,FAT18-FTK0053,18,FAT18,53,FTK0053,حي القادسية
34.2042,43.90349,FAT19-FTK0053,19,FAT19,53,FTK0053,حي القادسية
34.20619006,43.90199669,FAT20-FTK0053,20,FAT20,53,FTK0053,حي القادسية
34.20629941,43.90236713,FAT21-FTK0053,21,FAT21,53,FTK0053,حي القادسية
34.20708843,43.90424152,FAT22-FTK0053,22,FAT22,53,FTK0053,حي القادسية
34.20544,43.90376,FAT23-FTK0053,23,FAT23,53,FTK0053,حي القادسية
34.2058722,43.9033046,FAT24-FTK0053,24,FAT24,53,FTK0053,حي القادسية
34.206838,43.90329922,FAT25-FTK0053,25,FAT25,53,FTK0053,حي القادسية
34.20503712,43.90146932,FAT26-FTK0053,26,FAT26,53,FTK0053,حي القادسية
34.20802094,43.9045252,FAT27-FTK0053,27,FAT27,53,FTK0053,حي القادسية
34.20767585,43.90383401,FAT28-FTK0053,28,FAT28,53,FTK0053,حي القادسية
34.20817376,43.90452036,FAT29-FTK0053,29,FAT29,53,FTK0053,حي القادسية
34.20978676,43.9049912,FAT30-FTK0053,30,FAT30,53,FTK0053,حي القادسية
34.20896496,43.90414917,FAT31-FTK0053,31,FAT31,53,FTK0053,حي القادسية
34.2114147,43.90548072,FAT32-FTK0053,32,FAT32,53,FTK0053,حي القادسية
34.21106927,43.90473807,FAT33-FTK0053,33,FAT33,53,FTK0053,حي القادسية
34.2113825,43.90474605,FAT34-FTK0053,34,FAT34,53,FTK0053,حي القادسية
34.21076156,43.90456578,FAT35-FTK0053,35,FAT35,53,FTK0053,حي القادسية
